,date,year,month,day,estacio,station_name,lat,lon,no2_daily_avg
166,2018-07-04,2018,7,4,57,Barcelona - Palau Reial,41.3875,2.1151,33.608695652173914
167,2018-07-05,2018,7,5,4,Barcelona - Poblenou,41.4039,2.2045,30.608695652173914
168,2018-07-05,2018,7,5,42,Barcelona - Sants,41.3788,2.1331,22.130434782608695
169,2018-07-05,2018,7,5,43,Barcelona - Eixample,41.3853,2.1538,51.04347826086956
170,2018-07-05,2018,7,5,44,Barcelona - Gràcia,41.3987,2.1534,34.21739130434783
171,2018-07-05,2018,7,5,50,Barcelona - Ciutadella,41.3864,2.1874,22.304347826086957
172,2018-07-05,2018,7,5,54,Barcelona - Vall Hebron,41.4261,2.148,21.52173913043478
173,2018-07-05,2018,7,5,57,Barcelona - Palau Reial,41.3875,2.1151,20.043478260869566
174,2018-07-06,2018,7,6,4,Barcelona - Poblenou,41.4039,2.2045,29.041666666666668
175,2018-07-06,2018,7,6,42,Barcelona - Sants,41.3788,2.1331,19.75
176,2018-07-06,2018,7,6,43,Barcelona - Eixample,41.3853,2.1538,52.333333333333336
177,2018-07-06,2018,7,6,44,Barcelona - Gràcia,41.3987,2.1534,39.142857142857146
178,2018-07-06,2018,7,6,50,Barcelona - Ciutadella,41.3864,2.1874,27.5
179,2018-07-06,2018,7,6,54,Barcelona - Vall Hebron,41.4261,2.148,18.041666666666668
180,2018-07-06,2018,7,6,57,Barcelona - Palau Reial,41.3875,2.1151,18.291666666666668
181,2018-07-07,2018,7,7,4,Barcelona - Poblenou,41.4039,2.2045,33.208333333333336
182,2018-07-07,2018,7,7,42,Barcelona - Sants,41.3788,2.1331,20.166666666666668
183,2018-07-07,2018,7,7,43,Barcelona - Eixample,41.3853,2.1538,45.44444444444444
184,2018-07-07,2018,7,7,44,Barcelona - Gràcia,41.3987,2.1534,33.666666666666664
185,2018-07-07,2018,7,7,50,Barcelona - Ciutadella,41.3864,2.1874,34.125
186,2018-07-07,2018,7,7,54,Barcelona - Vall Hebron,41.4261,2.148,24.666666666666668
187,2018-07-07,2018,7,7,57,Barcelona - Palau Reial,41.3875,2.1151,20.5
188,2018-07-08,2018,7,8,4,Barcelona - Poblenou,41.4039,2.2045,25.875
189,2018-07-08,2018,7,8,42,Barcelona - Sants,41.3788,2.1331,30.61111111111111
190,2018-07-08,2018,7,8,43,Barcelona - Eixample,41.3853,2.1538,47.6
191,2018-07-08,2018,7,8,44,Barcelona - Gràcia,41.3987,2.1534,33.57142857142857
192,2018-07-08,2018,7,8,50,Barcelona - Ciutadella,41.3864,2.1874,35.041666666666664
193,2018-07-08,2018,7,8,54,Barcelona - Vall Hebron,41.4261,2.148,20.166666666666668
194,2018-07-08,2018,7,8,57,Barcelona - Palau Reial,41.3875,2.1151,23.5
195,2018-07-09,2018,7,9,4,Barcelona - Poblenou,41.4039,2.2045,49.65217391304348
196,2018-07-09,2018,7,9,42,Barcelona - Sants,41.3788,2.1331,34.42857142857143
197,2018-07-09,2018,7,9,43,Barcelona - Eixample,41.3853,2.1538,76.0952380952381
198,2018-07-09,2018,7,9,44,Barcelona - Gràcia,41.3987,2.1534,64.05882352941177
199,2018-07-09,2018,7,9,50,Barcelona - Ciutadella,41.3864,2.1874,55.08695652173913
200,2018-07-09,2018,7,9,54,Barcelona - Vall Hebron,41.4261,2.148,37.04347826086956
201,2018-07-09,2018,7,9,57,Barcelona - Palau Reial,41.3875,2.1151,37.8
202,2018-07-09,2018,7,9,58,Barcelona - Observ Fabra,41.4183,2.1239,13.625
203,2018-07-10,2018,7,10,4,Barcelona - Poblenou,41.4039,2.2045,43.130434782608695
204,2018-07-10,2018,7,10,42,Barcelona - Sants,41.3788,2.1331,28.083333333333332
205,2018-07-10,2018,7,10,43,Barcelona - Eixample,41.3853,2.1538,54.73913043478261
206,2018-07-10,2018,7,10,44,Barcelona - Gràcia,41.3987,2.1534,39.6
207,2018-07-10,2018,7,10,50,Barcelona - Ciutadella,41.3864,2.1874,41.666666666666664
208,2018-07-10,2018,7,10,54,Barcelona - Vall Hebron,41.4261,2.148,19.75
209,2018-07-10,2018,7,10,57,Barcelona - Palau Reial,41.3875,2.1151,25.526315789473685
210,2018-07-10,2018,7,10,58,Barcelona - Observ Fabra,41.4183,2.1239,12.458333333333334
